city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Lucapa,AO,-8.4192,20.7447,64.78,95,100,1.28,overcast clouds
309,Husavik,IS,66.0449,-17.3389,24.62,78,100,12.73,overcast clouds
310,Riyadh,SA,24.6877,46.7219,64.54,25,49,6.98,scattered clouds
311,Soubre,CI,5.7856,-6.6083,72.97,98,95,1.97,overcast clouds
312,Laela,TZ,-8.5667,32.05,65.01,49,13,3.15,few clouds
313,San Lawrenz,MT,36.0553,14.204,53.01,49,1,5.21,clear sky
314,Ivanava,BY,52.1451,25.5365,37.71,88,94,9.78,overcast clouds
315,Baracoa,CU,20.3467,-74.4958,78.44,87,63,7.14,broken clouds
316,Mercedes,AR,-34.6515,-59.4307,67.86,84,0,9.22,clear sky
317,Englehart,CA,47.8169,-79.8664,39.67,62,100,13.69,overcast clouds
318,Zhezkazgan,KZ,47.8043,67.7144,32.23,77,88,15.26,overcast clouds
319,Salcininkai,LT,54.3,25.3833,44.69,81,100,15.79,overcast clouds
320,Vila Velha,BR,-20.3297,-40.2925,66.15,95,90,3.44,overcast clouds
321,Gander,CA,48.9682,-54.5906,35.17,81,99,25.01,overcast clouds
322,Vavozh,RU,56.7751,51.931,31.51,94,100,12.55,overcast clouds
323,Teguldet,RU,57.3064,88.1667,17.44,94,91,4.56,overcast clouds
324,Florianopolis,BR,-27.6146,-48.5012,63.37,95,75,6.91,broken clouds
325,Pastos Bons,BR,-6.6017,-44.0767,77.29,65,60,1.79,broken clouds
326,Aksarka,RU,66.5606,67.7975,11.39,96,98,7.74,overcast clouds
327,Sayyan,YE,15.1718,44.3244,48.07,42,2,3.85,clear sky
328,Arak,IR,34.0917,49.6892,38.48,84,100,6.89,overcast clouds
329,Torres,BR,-29.3353,-49.7269,62.83,85,100,4.05,overcast clouds
330,Santiago Del Estero,AR,-27.7951,-64.2615,73.08,46,23,11.74,few clouds
331,Dondo,MZ,-19.6094,34.7431,74.71,85,100,2.64,overcast clouds
332,Zaysan,KZ,47.4667,84.8667,25.3,67,9,0.74,clear sky
333,Adre,TD,13.4667,22.2,72.9,23,41,7.54,scattered clouds
334,Sioux Lookout,CA,50.1001,-91.917,28.78,93,90,13.8,snow
335,Quatre Cocos,MU,-20.2078,57.7625,79.09,70,0,9.8,clear sky
336,Ulagan,RU,50.6321,87.9563,22.57,61,90,2.13,overcast clouds
337,Rincon,US,32.296,-81.2354,68.18,100,90,8.05,overcast clouds
338,Talcahuano,CL,-36.7167,-73.1167,55.08,94,90,8.05,overcast clouds
339,Piranshahr,IR,36.701,45.1413,35.42,98,100,7.76,overcast clouds
340,Gornyak,RU,50.9942,81.4661,30.69,56,100,18.32,overcast clouds
341,Yining,CN,29.0361,114.5636,63.3,41,34,2.89,scattered clouds
