City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Barcelos,PT,2021-11-08 03:56:34,41.5388,-8.6151,54.68,59,88,4.76
216,Trairi,BR,2021-11-08 04:00:45,-3.2778,-39.2689,78.51,84,31,6.33
217,Peniche,PT,2021-11-08 04:00:35,39.3558,-9.3811,54.88,76,85,8.75
218,Chapada Dos Guimaraes,BR,2021-11-08 04:05:06,-15.4606,-55.7497,64.06,87,25,2.84
219,Carmarthen,GB,2021-11-08 04:05:06,51.8555,-4.3054,51.51,87,60,1.86
220,Vostochnyy,RU,2021-11-08 04:05:07,55.8167,37.8667,43.11,75,100,12.26
221,Livani,LV,2021-11-08 04:05:08,56.3543,26.1758,43.36,91,100,14.27
222,Shakhtinsk,KZ,2021-11-08 04:05:08,49.71,72.5872,23.54,46,0,6.69
223,Portobelo,PA,2021-11-08 04:05:09,9.55,-79.65,78.96,84,99,6.73
224,Aquiraz,BR,2021-11-08 04:05:09,-3.9014,-38.3911,81.18,81,38,7.92
225,Bam,IR,2021-11-08 03:58:27,29.106,58.357,55.78,37,5,3.85
226,Camacha,PT,2021-11-08 03:58:38,33.0833,-16.3333,63.82,59,40,9.22
227,Viedma,AR,2021-11-08 03:50:25,-40.8135,-62.9967,56.01,75,61,9.84
228,Havoysund,NO,2021-11-08 03:57:23,70.9963,24.6622,31.08,78,100,25.81
229,Deori Khas,IN,2021-11-08 04:05:11,23.4,79.0167,73.56,40,34,4.27
230,Omboue,GA,2021-11-08 03:56:24,-1.5746,9.2618,75.97,92,100,4.54
231,Lopsmarka,NO,2021-11-08 04:05:12,67.3134,14.4493,28.29,77,0,3.0
232,Kachiry,KZ,2021-11-08 04:05:12,53.0675,76.1036,35.46,32,100,17.38
233,Nouakchott,MR,2021-11-08 04:01:52,18.0858,-15.9785,69.73,66,97,11.61
234,Souillac,MU,2021-11-08 03:52:23,-20.5167,57.5167,79.36,78,75,10.36
235,Margate,GB,2021-11-08 03:57:00,51.3813,1.3862,44.69,86,92,12.91
236,Kutum,SD,2021-11-08 03:58:37,14.2,24.6667,66.34,29,5,6.15
237,Alta,NO,2021-11-08 04:05:14,69.9689,23.2717,31.26,77,40,3.0
238,Guayaramerin,BO,2021-11-08 04:05:14,-10.8368,-65.3614,71.92,96,98,1.74
239,Sechura,PE,2021-11-08 04:02:21,-5.5569,-80.8222,64.89,79,43,11.81
240,Surt,LY,2021-11-08 04:05:15,31.2089,16.5887,70.66,38,100,13.76
241,Lagoa,PT,2021-11-08 03:58:05,39.05,-27.9833,68.27,85,11,19.35
242,Pasni,PK,2021-11-08 04:05:16,25.2631,63.471,78.78,39,0,7.34
243,Cabedelo,BR,2021-11-08 03:57:24,-6.9811,-34.8339,79.47,81,51,8.93
244,Bela,IN,2021-11-08 04:05:17,25.9333,81.9833,74.35,41,40,5.26
245,Zaozerne,UA,2021-11-08 04:05:18,45.1582,33.2787,57.94,93,81,17.52
246,Murgab,TM,2021-11-08 03:58:36,37.4966,61.9714,40.87,56,90,6.91
247,Barra Patuca,HN,2021-11-08 04:05:18,15.8,-84.2833,77.13,75,100,15.66
248,Bonga,ET,2021-11-08 04:05:19,7.2833,36.2333,57.97,95,56,1.74
249,Carlow,IE,2021-11-08 04:05:19,52.8408,-6.9261,51.67,96,100,5.57
250,Nalut,LY,2021-11-08 04:05:20,30.3333,10.85,63.61,47,88,1.32
251,Coquimbo,CL,2021-11-08 03:57:06,-29.9533,-71.3436,55.13,94,0,3.44
252,Husavik,IS,2021-11-08 03:58:01,66.0449,-17.3389,31.91,98,100,10.94
253,Kabelvag,NO,2021-11-08 04:05:21,68.2114,14.4817,32.22,69,58,6.44
254,Bluefields,NI,2021-11-08 04:05:22,12.0137,-83.7635,74.57,93,95,7.83
255,San Lazaro,BZ,2021-11-08 04:05:23,18.0387,-88.6622,67.98,91,14,3.31
256,Mongo,TD,2021-11-08 04:05:23,12.1844,18.693,76.78,18,48,4.03
257,Santa Rosa,PH,2021-11-08 03:59:38,14.3122,121.1114,89.11,71,60,12.33
258,Kumeny,RU,2021-11-08 04:05:24,58.1089,49.9161,33.42,87,100,10.36
259,Chake Chake,TZ,2021-11-08 04:05:24,-5.2459,39.7666,76.48,79,89,1.81
260,Colares,PT,2021-11-08 03:56:59,38.7992,-9.4469,54.59,62,44,5.01
261,Teodoro Sampaio,BR,2021-11-08 04:05:25,-22.5325,-52.1675,72.63,87,41,3.47
262,Oxelosund,SE,2021-11-08 04:05:26,58.6706,17.1015,35.98,80,90,12.66
263,Krasnoselkup,RU,2021-11-08 03:57:45,65.7,82.4667,32.83,98,100,22.91
264,Corn Island,NI,2021-11-08 04:05:27,12.1694,-83.0418,81.75,77,95,16.93
265,Alta Floresta,BR,2021-11-08 04:00:43,-9.8756,-56.0861,70.54,98,98,2.64
266,Cidreira,BR,2021-11-08 03:55:46,-30.1811,-50.2056,61.48,73,6,2.68
267,Sovetskiy,RU,2021-11-08 03:59:04,61.3614,63.5842,32.07,89,90,9.69
268,Milton,US,2021-11-08 04:04:59,34.1322,-84.3007,53.76,72,0,4.0
269,Birao,CF,2021-11-08 04:05:28,10.2849,22.7882,73.83,36,26,2.06
270,Comodoro Rivadavia,AR,2021-11-08 03:54:17,-45.8667,-67.5,55.26,67,0,6.91
271,Sao Filipe,CV,2021-11-08 03:56:39,14.8961,-24.4956,77.85,74,100,7.56
272,Maniitsoq,GL,2021-11-08 04:00:32,65.4167,-52.9,20.95,60,1,4.74
273,Boke,GN,2021-11-08 04:05:30,10.9409,-14.2967,75.02,93,15,2.93
274,Mecca,SA,2021-11-08 03:55:15,21.4267,39.8261,77.63,58,0,3.09
275,Misratah,LY,2021-11-08 04:05:31,32.3754,15.0925,72.45,52,28,14.58
276,Royan,FR,2021-11-08 04:05:31,45.6285,-1.0281,46.38,91,8,8.81
277,Damghan,IR,2021-11-08 04:05:32,36.1683,54.348,43.38,52,1,1.16
278,Nadym,RU,2021-11-08 04:05:32,65.5333,72.5167,23.18,88,100,12.24
279,Karema,TZ,2021-11-08 04:05:33,-6.8205,30.4389,74.17,51,36,4.32
280,Usinsk,RU,2021-11-08 03:58:59,65.9939,57.5281,18.81,93,100,7.78
281,Plettenberg Bay,ZA,2021-11-08 03:57:18,-34.0527,23.3716,58.06,92,100,4.43
282,Carutapera,BR,2021-11-08 04:05:34,-1.195,-46.02,76.55,88,60,3.91
283,Rio Grande,BR,2021-11-08 04:05:34,-32.035,-52.0986,52.95,77,0,4.05
284,Labrea,BR,2021-11-08 04:05:35,-7.2586,-64.7981,73.78,93,100,1.25
285,Chulym,RU,2021-11-08 04:05:35,55.0997,80.9572,28.45,70,98,18.61
286,Orbetello,IT,2021-11-08 04:05:36,42.4408,11.2196,58.8,83,81,8.57
287,Quelimane,MZ,2021-11-08 04:05:36,-17.8786,36.8883,72.81,77,5,5.82
288,Wagar,SD,2021-11-08 04:05:37,16.1525,36.2032,78.57,60,51,7.07
289,Pitimbu,BR,2021-11-08 04:05:37,-7.4706,-34.8086,79.39,80,42,8.34
290,Tshela,CD,2021-11-08 04:05:38,-4.9833,12.9333,73.49,98,100,0.49
